,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
182,OPPO," F11 (Fluorite Purple, 128 GB)",Fluorite Purple,128,4.4,"70,561","7,305",4,4020,6.53,1,13990,36% off,21990
183,Itel, IT 2163,,,4,,,,1000,1.8,,738,24% off,738
184,Itel, IT 2163,,,4,,,,1000,1.8,,738,24% off,738
185,Tecno," Camon 15 (SHOAL GOLD, 64 GB)",SHOAL GOLD,64,4.3,,,4,5000,6.55,,11499,0 % off,11499
186,Micromax, X512,,,4,"2,462",,,1750,1.77,1,781,24% off,1035
187,OnePlus," 7T (Glacier Blue, 128 GB)",Glacier Blue,128,4.6,"4,293",,8,3800,6.55,,35105,7% off,37990
188,Micromax, X380,,,4,"2,102",,,2500,1.77,,775,48% off,1499
189,Asus," ZenFone Max M1 (Black, 32 GB)",Black,32,4.1,"1,37,006","16,581",3,4000,5.45,1,5999,37% off,9599
190,Karbonn," Aura (Silver, 8 GB)",Silver,8,3.4,,,1,2000,,1,4325,0 % off,4325
191,Moto," E6s (Polished Graphite, 64 GB)",Polished Graphite,64,4.1,"61,655","5,399",4,3000,6.1,1,7499,25% off,9999
192,OPPO," A9 2020 (Vanilla Mint, 128 GB)",Vanilla Mint,128,4.3,"4,333",,8,5000,6.52,1,19989,0 % off,19989
193,Tecno," Camon 15 Pro (Ice Jadite, 128 GB)",Ice Jadite,128,3.5,,,6,4000,6.53,,15999,5% off,16999
194,Tecno," Camon 15 Pro (Opal White, 128 GB)",Opal White,128,3.5,,,6,4000,6.53,,15999,5% off,16999
195,Kechaoda, K10,,,4,"4,686",,,300,0.66,1,999,0 % off,999
196,Kechaoda, K10,,,4,"4,686",,,300,0.66,1,999,0 % off,999
197,Infinix," Note 5 (Milan Black, 64 GB)",Milan Black,64,4.2,"6,598",,4,4500,5.99,1,7699,40% off,12999
198,Infinix," Note 5 (Berlin Gray, 64 GB)",Berlin Gray,64,4.2,"6,598",,4,4500,5.99,1,7699,40% off,12999
199,Tecno," Spark 4 Air (Polar Blue, 32 GB)",Polar Blue,32,4.2,,,3,3000,6.1,,7290,0 % off,7290
200,Vivo," V15 (Frozen Black, 64 GB)",Frozen Black,64,4.4,"34,304","2,904",6,4000,6.53,1,17799,0 % off,17799
201,Lava, 34 Plus,,,4.3,,,,2500,2.4,1,1599,7% off,1729
202,Micromax, X516,,,4,"3,024",,,1750,1.77,1,777,61% off,1999
203,Moto," G8 Plus (Crystal Pink, 64 GB)",Crystal Pink,64,4.3,"6,364",,4,4000,6.3,1,12999,18% off,15999
204,Apple," iPhone XS (Space Grey, 64 GB)",Space Grey,64,4.7,"8,367",,,0,5.8,1,62999,29% off,89900
205,Kechaoda, K115,,,4.1,"3,530",,,850,1.44,,870,12% off,870
206,Redmi," Note 8 (Cosmic Purple, 64 GB)",Cosmic Purple,64,4.4,"10,252",,4,4000,6.3,,12199,6% off,12999
207,OnePlus," 7 (Red, 256 GB)",Red,256,4.6,"1,245",,8,3700,6.41,,32899,0 % off,32899
208,OnePlus," 7 (Mirror Blue, 128 GB)",Mirror Blue,128,4.6,"2,888",,6,3700,6.41,,29999,9% off,32999
209,Kechaoda, K112,,,4,"3,846",,,3600,2.4,1,1150,23% off,1499
210,Apple," iPhone 11 (Green, 64 GB)",Green,64,4.7,"10,800",,,0,6.1,1,68300,0 % off,68300
211,Intex, Eco 111,,,3.9,,,,1050,1.8,1,799,0 % off,799
212,Apple," iPhone XR (Blue, 64 GB)",Blue,64,4.6,"8,780",,,0,6.1,1,52500,0 % off,52500
213,Karbonn, K-Pebble,,,3.9,,,,800,2.4,1,1299,23% off,1690
214,I, Kall K66 Combo Of Two Mobile,,,3.5,"5,358",,,1000,1.8,1,1199,20% off,1499
215,Lava, 34 Plus,,,4.3,,,,2500,2.4,1,1399,26% off,1899
216,Nokia, 105,,,4,"23,435","2,258",,850,1.4,1,1099,12% off,1249
217,Micromax, X742,,,3.8,"4,381",,,1000,2.4,,899,35% off,1399
218,Kechaoda, K115,,,4.1,"8,743",,,850,1.44,,880,0 % off,880
